CMDLINE /data/pgnanoraw/pod5_fork/pod5/python/pod5/venv/bin/python index_bam.py
MEM 63.386719 1691950607.0508
MEM 63.386719 1691950607.1510
MEM 63.644531 1691950607.2512
MEM 63.644531 1691950607.3515
MEM 63.644531 1691950607.4517
MEM 63.644531 1691950607.5519
MEM 63.644531 1691950607.6521
MEM 63.902344 1691950607.7523
MEM 63.902344 1691950607.8525
MEM 63.902344 1691950607.9527
MEM 63.902344 1691950608.0529
MEM 63.902344 1691950608.1530
MEM 64.160156 1691950608.2532
MEM 64.160156 1691950608.3534
MEM 64.160156 1691950608.4537
MEM 64.160156 1691950608.5539
MEM 64.160156 1691950608.6541
MEM 64.417969 1691950608.7543
MEM 64.417969 1691950608.8545
MEM 64.417969 1691950608.9548
MEM 64.417969 1691950609.0550
MEM 64.417969 1691950609.1552
MEM 64.675781 1691950609.2553
MEM 64.675781 1691950609.3555
MEM 64.675781 1691950609.4557
MEM 64.675781 1691950609.5559
MEM 64.675781 1691950609.6561
MEM 64.675781 1691950609.7562
MEM 64.933594 1691950609.8564
MEM 64.933594 1691950609.9566
MEM 64.933594 1691950610.0568
MEM 64.933594 1691950610.1570
MEM 64.933594 1691950610.2571
MEM 65.191406 1691950610.3573
MEM 65.191406 1691950610.4574
MEM 65.191406 1691950610.5575
MEM 65.191406 1691950610.6577
MEM 65.191406 1691950610.7579
MEM 65.179688 1691950610.8581
MEM 65.433594 1691950610.9583
MEM 65.433594 1691950611.0585
MEM 65.433594 1691950611.1586
MEM 65.433594 1691950611.2588
MEM 65.691406 1691950611.3589
MEM 65.691406 1691950611.4591
MEM 65.691406 1691950611.5593
MEM 65.691406 1691950611.6596
MEM 65.949219 1691950611.7598
MEM 65.949219 1691950611.8600
MEM 65.949219 1691950611.9602
MEM 65.949219 1691950612.0603
MEM 66.207031 1691950612.1605
MEM 66.207031 1691950612.2607
MEM 66.207031 1691950612.3609
MEM 66.207031 1691950612.4610
MEM 66.207031 1691950612.5612
MEM 66.464844 1691950612.6613
MEM 66.464844 1691950612.7615
MEM 66.464844 1691950612.8617
MEM 66.464844 1691950612.9620
MEM 66.464844 1691950613.0621
MEM 66.464844 1691950613.1623
MEM 66.722656 1691950613.2625
MEM 66.722656 1691950613.3627
MEM 66.722656 1691950613.4629
MEM 66.722656 1691950613.5632
