Dataset, Tamaño Dataset, macro bits/simbolo integrado, macro size_ratio integrado, velocidad compresión integrado, velocidad descompresión integrado, macro bits/simbolo independiente, macro size_ratio independiente, velocidad compresión independiente, velocidad descompresión independiente
"Todos", 58, 6.456551036332165, 0.9709679761239802, 13.096737773445543 MB/s, 12.25166371887406 MB/s, 6.446781083586939, 0.9691431945702952, 13.469143521603097 MB/s, 11.518975540989176 MB/s
"R10.4.1", 29, 6.908220624551063, 0.9643341225281813, 13.41336264627982 MB/s, 14.311269131508423 MB/s, 6.8977924728649835, 0.9625605495237736, 14.300232106620998 MB/s, 13.402026199277476 MB/s
"R10.3", 14, 6.844391500409579, 0.9635637098320788, 19.27108949733998 MB/s, 17.360899061687405 MB/s, 6.832448286798722, 0.9615452972102333, 20.227840645420734 MB/s, 16.495636877813602 MB/s
"R9.4.1",15, 5.221338732636708, 0.9907040749482996, 19.99862284257784 MB/s, 15.564538865122396 MB/s, 5.214869674651721, 0.9889610125296282, 19.208017685496095 MB/s, 15.217870002294587 MB/s
