method, whole signal, chunked signal
vbz, 7.405892397203091, 7.406242051230444
cpp, 7.120616539418813, 7.127475719987198
linear, 7.228205663075467, 7.233740400471328
neural, 7.354924162168067, 7.5487858270545365
deriv-neg, 7.66312117931061, 7.663671865599522
deriv-pos, 7.810868053735161, 7.819054440007322
1-neg, 7.109727900587528, 7.116475337134309
1-pos, 7.134208285484421, 7.14134370178003
